vendor_id,tax_period,total_itc_claimed,itc_matched,itc_at_risk,leakage_percentage,aging_bucket
VND00515,2023-Q2,244245,125890,118355,48.46,31-60
VND00384,2023-Q2,214428,109850,104578,48.77,0-30
VND03364,2023-Q2,437818,245624,192194,43.9,31-60
VND02239,2023-Q3,318900,136835,182065,57.09,60+
VND02244,2023-Q3,349792,70327,279465,79.89,60+
VND02040,2023-Q2,337241,297981,39260,11.64,31-60
VND02686,2023-Q1,441061,241330,199731,45.28,31-60
VND02614,2023-Q1,74640,36741,37899,50.78,31-60
VND02787,2023-Q1,426882,149872,277010,64.89,31-60
VND03157,2023-Q3,484264,413666,70598,14.58,0-30
VND01846,2023-Q2,338766,258350,80416,23.74,0-30
VND00851,2023-Q3,86433,45231,41202,47.67,60+
VND04093,2023-Q3,84108,21405,62703,74.55,60+
VND01598,2023-Q2,198979,140597,58382,29.34,60+
VND02425,2023-Q2,202242,80242,122000,60.32,60+
VND03604,2023-Q1,125771,125502,269,0.21,31-60
VND01991,2023-Q1,337672,207372,130300,38.59,31-60
VND03307,2023-Q3,412171,227272,184899,44.86,0-30
VND01980,2023-Q2,114966,79350,35616,30.98,0-30
VND02540,2023-Q3,65512,28908,36604,55.87,31-60
VND03065,2023-Q1,254932,95302,159630,62.62,31-60
VND00184,2023-Q2,208663,161435,47228,22.63,31-60
VND00899,2023-Q1,343184,248188,94996,27.68,31-60
VND02600,2023-Q2,107903,58929,48974,45.39,31-60
VND02926,2023-Q1,179093,123584,55509,30.99,0-30
VND00053,2023-Q2,96159,63374,32785,34.09,31-60
VND02552,2023-Q1,267453,176014,91439,34.19,31-60
VND02852,2023-Q3,117742,65656,52086,44.24,31-60
VND04889,2023-Q3,328325,253594,74731,22.76,31-60
VND02584,2023-Q1,74444,33800,40644,54.6,31-60
VND01061,2023-Q3,430638,233412,197226,45.8,0-30
VND04406,2023-Q3,100950,100888,62,0.06,60+
VND02731,2023-Q3,361559,275968,85591,23.67,60+
VND03280,2023-Q3,347190,294231,52959,15.25,0-30
VND04051,2023-Q3,205733,190720,15013,7.3,0-30
VND03924,2023-Q2,200119,150533,49586,24.78,60+
VND04608,2023-Q1,462030,271670,190360,41.2,60+
VND00366,2023-Q2,340253,119852,220401,64.78,31-60
VND04680,2023-Q3,458041,332575,125466,27.39,60+
VND04759,2023-Q2,187836,137958,49878,26.55,60+
VND03138,2023-Q2,410015,334729,75286,18.36,0-30
VND02404,2023-Q3,63034,56585,6449,10.23,60+
VND04774,2023-Q3,280274,96764,183510,65.48,31-60
VND01646,2023-Q1,125111,55823,69288,55.38,31-60
VND03874,2023-Q1,465983,57241,408742,87.72,31-60
VND00853,2023-Q3,53828,43420,10408,19.34,31-60
VND00100,2023-Q2,425061,424202,859,0.2,31-60
VND01557,2023-Q2,76192,45549,30643,40.22,60+
VND04918,2023-Q2,453254,335847,117407,25.9,60+
VND02973,2023-Q3,486557,29525,457032,93.93,31-60
VND04767,2023-Q2,224388,127199,97189,43.31,31-60
VND01944,2023-Q3,256617,149252,107365,41.84,31-60
VND01706,2023-Q3,212519,109879,102640,48.3,60+
VND03360,2023-Q1,433342,27747,405595,93.6,0-30
VND04149,2023-Q3,383576,120959,262617,68.47,0-30
VND04796,2023-Q3,485550,175909,309641,63.77,60+
VND02557,2023-Q3,227977,122448,105529,46.29,31-60
VND04003,2023-Q2,442427,332850,109577,24.77,60+
VND00111,2023-Q3,480649,90431,390218,81.19,31-60
VND03437,2023-Q2,317212,288755,28457,8.97,0-30
VND04504,2023-Q2,410208,56206,354002,86.3,31-60
VND03846,2023-Q1,356893,266258,90635,25.4,0-30
VND03896,2023-Q2,420930,206358,214572,50.98,0-30
VND04288,2023-Q3,301628,227214,74414,24.67,31-60
VND01001,2023-Q1,124323,82325,41998,33.78,0-30
VND00259,2023-Q3,61389,23062,38327,62.43,60+
VND03426,2023-Q1,152626,63309,89317,58.52,31-60
VND02270,2023-Q2,129712,117434,12278,9.47,60+
VND02586,2023-Q2,172664,158023,14641,8.48,0-30
VND01650,2023-Q1,150465,64134,86331,57.38,31-60
VND00132,2023-Q1,388129,146226,241903,62.33,60+
VND03699,2023-Q2,226660,218661,7999,3.53,31-60
VND00651,2023-Q3,178660,39676,138984,77.79,31-60
VND00539,2023-Q3,227107,180449,46658,20.54,31-60
VND02219,2023-Q3,361587,59734,301853,83.48,60+
VND01144,2023-Q3,360901,281728,79173,21.94,60+
VND01505,2023-Q1,395227,147588,247639,62.66,60+
VND01569,2023-Q1,457838,402068,55770,12.18,60+
VND03901,2023-Q1,87815,35830,51985,59.2,60+
VND02779,2023-Q2,354333,349319,5014,1.42,31-60
VND01115,2023-Q2,417207,183843,233364,55.93,31-60
VND04064,2023-Q3,112089,21690,90399,80.65,31-60
VND02489,2023-Q2,250308,85606,164702,65.8,31-60
VND01175,2023-Q3,206848,42318,164530,79.54,60+
VND02602,2023-Q2,407814,24675,383139,93.95,0-30
VND03119,2023-Q3,212414,39203,173211,81.54,31-60
VND01926,2023-Q3,134075,42579,91496,68.24,0-30
VND04628,2023-Q2,144302,87363,56939,39.46,60+
VND04828,2023-Q2,387130,212076,175054,45.22,60+
VND00299,2023-Q2,440011,110181,329830,74.96,60+
VND01442,2023-Q1,499830,317956,181874,36.39,31-60
VND00050,2023-Q1,115741,32796,82945,71.66,31-60
VND00205,2023-Q3,130752,117440,13312,10.18,60+
VND00626,2023-Q1,236394,64901,171493,72.55,0-30
VND02865,2023-Q3,110140,46883,63257,57.43,31-60
VND04404,2023-Q1,124600,40294,84306,67.66,0-30
VND00621,2023-Q3,191622,98596,93026,48.55,0-30
VND04247,2023-Q1,122500,79624,42876,35.0,0-30
VND02559,2023-Q2,478283,371335,106948,22.36,31-60
VND01175,2023-Q2,384733,118721,266012,69.14,60+
VND04953,2023-Q3,324743,253636,71107,21.9,31-60
VND01057,2023-Q1,488278,93242,395036,80.9,60+
VND02074,2023-Q2,288343,36820,251523,87.23,31-60
VND00161,2023-Q1,233670,46816,186854,79.96,0-30
VND01616,2023-Q2,395462,273060,122402,30.95,0-30
VND01000,2023-Q1,73907,54696,19211,25.99,60+
VND01974,2023-Q1,354430,56043,298387,84.19,60+
VND01190,2023-Q2,414850,79283,335567,80.89,31-60
VND02394,2023-Q1,432467,278049,154418,35.71,0-30
VND00865,2023-Q3,360946,45585,315361,87.37,60+
VND03680,2023-Q1,266423,180514,85909,32.25,31-60
VND03879,2023-Q2,162717,70575,92142,56.63,60+
VND00494,2023-Q2,194736,103913,90823,46.64,31-60
VND02173,2023-Q1,99687,72542,27145,27.23,31-60
VND00957,2023-Q3,152376,22458,129918,85.26,60+
VND00569,2023-Q3,88034,53506,34528,39.22,0-30
VND00421,2023-Q3,303204,32309,270895,89.34,60+
VND03207,2023-Q1,405631,198657,206974,51.03,0-30
VND01426,2023-Q2,284668,64467,220201,77.35,31-60
VND02765,2023-Q3,116225,68954,47271,40.67,31-60
VND03557,2023-Q1,304182,258503,45679,15.02,60+
VND02920,2023-Q2,187628,81309,106319,56.66,31-60
VND00266,2023-Q3,301740,162285,139455,46.22,60+
VND00679,2023-Q3,369895,51262,318633,86.14,31-60
VND02921,2023-Q3,200081,75424,124657,62.3,0-30
VND01415,2023-Q2,151149,23455,127694,84.48,0-30
VND00720,2023-Q3,369421,302007,67414,18.25,60+
VND00586,2023-Q1,370741,57298,313443,84.55,60+
VND01528,2023-Q3,283303,69186,214117,75.58,31-60
VND03238,2023-Q1,421438,24737,396701,94.13,60+
VND00496,2023-Q2,342460,73442,269018,78.55,31-60
VND01116,2023-Q2,388678,202222,186456,47.97,31-60
VND03328,2023-Q3,171098,30159,140939,82.37,31-60
VND03085,2023-Q1,52457,47947,4510,8.6,0-30
VND01678,2023-Q3,378938,279917,99021,26.13,31-60
VND00031,2023-Q3,90971,80244,10727,11.79,0-30
VND00411,2023-Q2,56874,45809,11065,19.46,0-30
VND00078,2023-Q1,139531,72187,67344,48.26,60+
VND02565,2023-Q2,257560,32608,224952,87.34,0-30
VND02742,2023-Q2,250283,241594,8689,3.47,31-60
VND01744,2023-Q3,72343,35465,36878,50.98,0-30
VND01870,2023-Q2,157894,98083,59811,37.88,60+
VND04088,2023-Q2,122205,43321,78884,64.55,60+
VND00343,2023-Q2,292810,175127,117683,40.19,60+
VND02618,2023-Q3,105724,33422,72302,68.39,60+
VND03342,2023-Q2,445628,233978,211650,47.49,60+
VND04016,2023-Q1,240436,229355,11081,4.61,60+
VND02173,2023-Q2,127346,86300,41046,32.23,60+
VND02011,2023-Q1,324088,223101,100987,31.16,60+
VND02610,2023-Q3,417126,349912,67214,16.11,0-30
VND01605,2023-Q2,390908,349320,41588,10.64,0-30
VND04728,2023-Q3,61845,26975,34870,56.38,60+
VND01568,2023-Q1,435629,213225,222404,51.05,31-60
VND04084,2023-Q2,316096,242128,73968,23.4,60+
VND01683,2023-Q2,305603,279027,26576,8.7,0-30
VND03137,2023-Q3,115656,75265,40391,34.92,60+
VND01659,2023-Q3,478272,183450,294822,61.64,31-60
VND02720,2023-Q2,233960,113309,120651,51.57,31-60
VND04949,2023-Q3,145557,67002,78555,53.97,60+
VND00393,2023-Q3,226384,173019,53365,23.57,0-30
VND04488,2023-Q3,366847,294857,71990,19.62,0-30
VND00325,2023-Q1,245913,61950,183963,74.81,60+
VND02208,2023-Q1,84171,72407,11764,13.98,0-30
VND04014,2023-Q3,111856,56611,55245,49.39,60+
VND00561,2023-Q3,117703,85001,32702,27.78,60+
VND02456,2023-Q3,412504,241900,170604,41.36,0-30
VND00808,2023-Q3,449881,324703,125178,27.82,31-60
VND04058,2023-Q2,413962,187450,226512,54.72,31-60
VND04789,2023-Q2,414859,293934,120925,29.15,31-60
VND04785,2023-Q2,384444,178183,206261,53.65,60+
VND03146,2023-Q1,453348,162017,291331,64.26,31-60
VND01991,2023-Q1,424371,384622,39749,9.37,60+
VND01718,2023-Q2,78364,22949,55415,70.71,31-60
VND01124,2023-Q2,275267,65287,209980,76.28,0-30
VND04802,2023-Q3,303061,129068,173993,57.41,60+
VND00263,2023-Q2,365872,268169,97703,26.7,60+
VND03619,2023-Q2,445005,338282,106723,23.98,31-60
VND03339,2023-Q2,208427,149280,59147,28.38,60+
VND02652,2023-Q3,98763,94408,4355,4.41,31-60
VND01400,2023-Q3,476564,305955,170609,35.8,0-30
VND00325,2023-Q3,448368,395334,53034,11.83,0-30
VND04623,2023-Q2,115982,68803,47179,40.68,0-30
VND02393,2023-Q2,192598,183106,9492,4.93,60+
VND03112,2023-Q1,344947,211629,133318,38.65,0-30
VND02970,2023-Q2,118716,105963,12753,10.74,60+
VND04509,2023-Q2,373209,358025,15184,4.07,0-30
VND04374,2023-Q2,111885,102882,9003,8.05,60+
VND00609,2023-Q1,110873,24009,86864,78.35,31-60
VND03401,2023-Q1,458845,202585,256260,55.85,31-60
VND00133,2023-Q2,175176,26425,148751,84.92,31-60
VND01807,2023-Q2,414162,53081,361081,87.18,31-60
VND01355,2023-Q3,470309,446400,23909,5.08,31-60
VND01856,2023-Q1,117733,101402,16331,13.87,0-30
VND00915,2023-Q1,58273,25308,32965,56.57,60+
VND02570,2023-Q2,204938,56231,148707,72.56,60+
VND02777,2023-Q1,68970,64585,4385,6.36,60+
VND03349,2023-Q1,467319,194868,272451,58.3,31-60
VND00665,2023-Q2,280633,187117,93516,33.32,60+
VND00544,2023-Q2,341930,49596,292334,85.5,31-60
VND00451,2023-Q2,359836,266159,93677,26.03,31-60
VND00961,2023-Q3,322468,222035,100433,31.15,31-60
VND03726,2023-Q1,258035,176339,81696,31.66,0-30
VND01823,2023-Q1,351753,245374,106379,30.24,31-60
VND04751,2023-Q3,83676,38988,44688,53.41,0-30
VND02517,2023-Q3,188857,163917,24940,13.21,60+
VND03797,2023-Q1,171190,24070,147120,85.94,60+
VND01608,2023-Q3,319948,111742,208206,65.07,60+
VND04012,2023-Q2,452052,41010,411042,90.93,31-60
VND04391,2023-Q2,476641,34504,442137,92.76,0-30
VND03054,2023-Q3,443632,353374,90258,20.35,60+
VND04447,2023-Q3,478303,330736,147567,30.85,0-30
VND03670,2023-Q1,358516,228253,130263,36.33,0-30
VND04674,2023-Q2,204903,129416,75487,36.84,0-30
VND02724,2023-Q3,183956,126050,57906,31.48,0-30
VND01691,2023-Q1,282040,158900,123140,43.66,31-60
VND04827,2023-Q1,193247,158696,34551,17.88,31-60
VND03665,2023-Q2,366094,168048,198046,54.1,0-30
VND00759,2023-Q2,146456,108408,38048,25.98,0-30
VND02812,2023-Q3,278649,259993,18656,6.7,60+
VND01918,2023-Q2,294142,196649,97493,33.14,60+
VND01839,2023-Q3,50837,32597,18240,35.88,0-30
VND03692,2023-Q3,445565,390671,54894,12.32,31-60
VND03112,2023-Q2,491457,36110,455347,92.65,31-60
VND01177,2023-Q3,375353,193755,181598,48.38,31-60
VND04834,2023-Q1,323756,167815,155941,48.17,0-30
VND01473,2023-Q2,62075,21514,40561,65.34,60+
VND02390,2023-Q2,226867,184593,42274,18.63,60+
VND04302,2023-Q3,234499,192823,41676,17.77,60+
VND00493,2023-Q1,403801,368053,35748,8.85,0-30
VND01347,2023-Q3,388168,245636,142532,36.72,0-30
VND03378,2023-Q2,479750,59730,420020,87.55,60+
VND00658,2023-Q3,285649,175878,109771,38.43,31-60
VND02225,2023-Q2,137400,57966,79434,57.81,60+
VND00428,2023-Q3,148067,142216,5851,3.95,0-30
VND00892,2023-Q1,344454,146737,197717,57.4,31-60
VND03191,2023-Q1,146570,50897,95673,65.27,31-60
VND04499,2023-Q3,169204,54894,114310,67.56,31-60
VND04245,2023-Q1,94111,69813,24298,25.82,60+
VND00374,2023-Q2,432828,74031,358797,82.9,60+
VND01188,2023-Q2,103023,58643,44380,43.08,31-60
VND00724,2023-Q3,435426,127830,307596,70.64,0-30
VND00455,2023-Q1,398184,116493,281691,70.74,31-60
VND04957,2023-Q3,90004,65973,24031,26.7,31-60
VND02735,2023-Q2,287660,82562,205098,71.3,60+
VND03092,2023-Q1,342565,225344,117221,34.22,31-60
VND00289,2023-Q1,300652,71361,229291,76.26,31-60
VND01653,2023-Q2,130104,120554,9550,7.34,0-30
VND00317,2023-Q1,323088,69481,253607,78.49,0-30
VND03306,2023-Q3,360542,142330,218212,60.52,0-30
VND02669,2023-Q1,247862,241840,6022,2.43,60+
VND02825,2023-Q2,495404,122169,373235,75.34,31-60
VND03872,2023-Q1,110300,43581,66719,60.49,31-60
VND03796,2023-Q2,476344,353312,123032,25.83,60+
VND04789,2023-Q3,432065,145739,286326,66.27,60+
VND03506,2023-Q3,373196,264812,108384,29.04,60+
VND00522,2023-Q3,359722,105427,254295,70.69,31-60
VND02454,2023-Q1,330645,174763,155882,47.14,0-30
VND02478,2023-Q3,290720,109227,181493,62.43,31-60
VND00655,2023-Q2,122939,117354,5585,4.54,60+
VND00844,2023-Q1,281269,171923,109346,38.88,31-60
VND04312,2023-Q3,164467,34735,129732,78.88,0-30
VND04069,2023-Q3,216625,30447,186178,85.94,31-60
VND02825,2023-Q3,361328,347574,13754,3.81,0-30
VND04318,2023-Q1,308752,98449,210303,68.11,60+
VND01622,2023-Q2,167345,96631,70714,42.26,60+
VND03968,2023-Q2,385564,230495,155069,40.22,0-30
VND01644,2023-Q1,377060,47714,329346,87.35,31-60
VND01820,2023-Q1,112776,95741,17035,15.11,60+
VND03252,2023-Q2,423966,211164,212802,50.19,0-30
VND04517,2023-Q2,424015,31328,392687,92.61,60+
VND01100,2023-Q3,442514,373272,69242,15.65,0-30
VND01753,2023-Q3,432706,226411,206295,47.68,0-30
VND00474,2023-Q3,354372,328614,25758,7.27,60+
VND03886,2023-Q3,99094,62471,36623,36.96,0-30
VND03478,2023-Q1,485354,56520,428834,88.35,0-30
VND02639,2023-Q3,378417,114729,263688,69.68,60+
VND02198,2023-Q2,142782,117186,25596,17.93,60+
VND00394,2023-Q1,331327,260485,70842,21.38,31-60
VND00854,2023-Q2,80340,57569,22771,28.34,0-30
VND01616,2023-Q3,407658,275996,131662,32.3,0-30
VND01623,2023-Q1,467795,414489,53306,11.4,60+
VND01698,2023-Q2,273028,192488,80540,29.5,0-30
VND03636,2023-Q2,387685,347481,40204,10.37,31-60
VND03412,2023-Q3,192995,161401,31594,16.37,0-30
VND00665,2023-Q3,402916,114679,288237,71.54,0-30
VND00561,2023-Q1,386105,52798,333307,86.33,0-30
VND03572,2023-Q1,282754,231083,51671,18.27,0-30
VND04391,2023-Q3,200543,64741,135802,67.72,31-60
VND00586,2023-Q2,477407,71166,406241,85.09,60+
VND02937,2023-Q3,491294,426894,64400,13.11,0-30
VND02664,2023-Q2,101844,72443,29401,28.87,0-30
VND02300,2023-Q1,381849,184866,196983,51.59,31-60
VND04736,2023-Q1,345287,63173,282114,81.7,60+
VND03890,2023-Q1,284882,223147,61735,21.67,0-30
VND00890,2023-Q1,76308,45819,30489,39.96,0-30
VND04219,2023-Q3,61453,51885,9568,15.57,31-60
VND01670,2023-Q2,104769,32069,72700,69.39,0-30
VND04807,2023-Q3,288271,32371,255900,88.77,60+
VND01771,2023-Q1,134290,94281,40009,29.79,31-60
VND03564,2023-Q1,402686,327017,75669,18.79,0-30
VND01225,2023-Q3,462185,270452,191733,41.48,60+
VND04912,2023-Q2,94211,86958,7253,7.7,60+
VND01974,2023-Q3,120944,76936,44008,36.39,0-30
VND00574,2023-Q2,160291,92372,67919,42.37,60+
VND04793,2023-Q1,242306,221249,21057,8.69,31-60
VND03688,2023-Q3,248067,174347,73720,29.72,31-60
VND03890,2023-Q2,425603,406754,18849,4.43,60+
VND00293,2023-Q1,155150,114446,40704,26.24,60+
VND04866,2023-Q2,202397,57002,145395,71.84,31-60
VND04996,2023-Q3,353667,265593,88074,24.9,0-30
VND04872,2023-Q2,246586,177897,68689,27.86,31-60
VND00415,2023-Q3,185702,128773,56929,30.66,60+
VND01632,2023-Q2,139604,30553,109051,78.11,60+
VND00389,2023-Q2,471178,69464,401714,85.26,60+
VND00068,2023-Q3,60542,56743,3799,6.27,0-30
VND00551,2023-Q3,483581,100572,383009,79.2,60+
VND01465,2023-Q1,113751,31225,82526,72.55,31-60
VND01809,2023-Q1,178957,57234,121723,68.02,31-60
VND00843,2023-Q2,268086,178647,89439,33.36,0-30
VND01506,2023-Q2,123918,73273,50645,40.87,0-30
VND00097,2023-Q1,360219,252480,107739,29.91,0-30
VND03404,2023-Q3,277253,32109,245144,88.42,60+
VND04014,2023-Q1,219647,202429,17218,7.84,60+
VND00574,2023-Q2,314756,144947,169809,53.95,60+
VND03484,2023-Q1,100540,56468,44072,43.84,0-30
VND01427,2023-Q2,104645,53727,50918,48.66,31-60
VND02162,2023-Q2,498137,204449,293688,58.96,0-30
VND01410,2023-Q3,406162,234499,171663,42.26,60+
VND01792,2023-Q1,304325,78586,225739,74.18,31-60
VND00268,2023-Q3,473678,409228,64450,13.61,0-30
VND01930,2023-Q3,356052,243870,112182,31.51,60+
VND03804,2023-Q2,69774,67631,2143,3.07,0-30
VND04042,2023-Q1,276955,150662,126293,45.6,60+
VND04331,2023-Q2,205954,85890,120064,58.3,31-60
VND03612,2023-Q3,232547,167364,65183,28.03,31-60
VND01774,2023-Q3,350002,192614,157388,44.97,60+
VND00043,2023-Q2,396349,293916,102433,25.84,60+
VND01619,2023-Q2,399821,360027,39794,9.95,60+
VND02290,2023-Q2,224567,59116,165451,73.68,60+
VND04954,2023-Q2,426851,337585,89266,20.91,0-30
VND03229,2023-Q2,58153,56385,1768,3.04,60+
VND02697,2023-Q1,172566,158985,13581,7.87,31-60
VND02742,2023-Q2,329952,164730,165222,50.07,31-60
VND02809,2023-Q2,184316,49528,134788,73.13,31-60
VND02040,2023-Q1,377941,312948,64993,17.2,31-60
VND03335,2023-Q2,392459,183031,209428,53.36,0-30
VND04110,2023-Q3,162911,94575,68336,41.95,31-60
VND03024,2023-Q2,370247,84480,285767,77.18,60+
VND00656,2023-Q2,66134,57397,8737,13.21,31-60
VND00352,2023-Q2,124867,99590,25277,20.24,31-60
VND00682,2023-Q3,438389,300326,138063,31.49,60+
VND02876,2023-Q2,355299,71846,283453,79.78,60+
VND04681,2023-Q1,134183,74780,59403,44.27,31-60
VND00941,2023-Q2,225834,161960,63874,28.28,0-30
VND00185,2023-Q1,284728,211028,73700,25.88,0-30
VND04649,2023-Q1,247291,74391,172900,69.92,31-60
VND01139,2023-Q3,241958,208900,33058,13.66,31-60
VND03351,2023-Q1,373118,236459,136659,36.63,0-30
VND02848,2023-Q1,355940,289273,66667,18.73,0-30
VND00793,2023-Q2,431258,393486,37772,8.76,31-60
VND04845,2023-Q2,465632,362421,103211,22.17,0-30
VND00773,2023-Q3,239411,68373,171038,71.44,60+
VND02571,2023-Q3,110378,89318,21060,19.08,31-60
VND04558,2023-Q2,485749,32025,453724,93.41,31-60
VND02665,2023-Q1,449497,65599,383898,85.41,0-30
VND03986,2023-Q1,232283,112878,119405,51.4,31-60
VND03774,2023-Q3,416036,193944,222092,53.38,0-30
VND00058,2023-Q1,64641,21670,42971,66.48,0-30
VND02907,2023-Q1,157958,103526,54432,34.46,60+
VND01936,2023-Q1,225501,92741,132760,58.87,31-60
VND01411,2023-Q2,329190,148114,181076,55.01,60+
VND02328,2023-Q3,453627,162191,291436,64.25,0-30
VND00604,2023-Q3,282806,282519,287,0.1,60+
VND01521,2023-Q1,318947,177912,141035,44.22,31-60
VND02612,2023-Q3,226322,38524,187798,82.98,60+
VND02523,2023-Q2,339960,26755,313205,92.13,0-30
VND02756,2023-Q2,121551,51627,69924,57.53,0-30
VND02073,2023-Q2,145683,134857,10826,7.43,0-30
VND02239,2023-Q1,279783,139403,140380,50.17,0-30
VND03396,2023-Q1,336261,270243,66018,19.63,60+
VND02875,2023-Q3,441220,170108,271112,61.45,31-60
VND01274,2023-Q1,272045,108974,163071,59.94,60+
VND04183,2023-Q2,457587,403108,54479,11.91,0-30
VND00977,2023-Q1,326098,116763,209335,64.19,60+
VND01320,2023-Q2,368562,110125,258437,70.12,31-60
VND00412,2023-Q1,53953,23197,30756,57.01,0-30
VND04260,2023-Q1,78071,37827,40244,51.55,60+
VND04287,2023-Q1,311910,84397,227513,72.94,60+
VND03635,2023-Q3,356569,80883,275686,77.32,0-30
VND03548,2023-Q2,100170,64540,35630,35.57,60+
VND04072,2023-Q1,88823,56506,32317,36.38,60+
VND02372,2023-Q2,407278,31274,376004,92.32,31-60
VND00987,2023-Q3,496687,466245,30442,6.13,0-30
VND04563,2023-Q2,497609,449162,48447,9.74,60+
VND02384,2023-Q3,218489,163828,54661,25.02,31-60
VND00733,2023-Q3,295369,125596,169773,57.48,0-30
VND04621,2023-Q1,264509,207530,56979,21.54,31-60
VND00022,2023-Q3,381161,113365,267796,70.26,60+
VND00813,2023-Q1,255667,129020,126647,49.54,0-30
VND02145,2023-Q2,177643,35607,142036,79.96,60+
VND01298,2023-Q3,94478,55295,39183,41.47,60+
VND01605,2023-Q3,101392,27713,73679,72.67,31-60
VND00104,2023-Q2,361180,80213,280967,77.79,31-60
VND00129,2023-Q3,199671,31460,168211,84.24,0-30
VND04841,2023-Q1,172348,34140,138208,80.19,60+
VND02284,2023-Q1,481981,99508,382473,79.35,31-60
VND02723,2023-Q2,427844,268581,159263,37.22,31-60
VND03537,2023-Q3,375534,374378,1156,0.31,31-60
VND02680,2023-Q2,68418,30512,37906,55.4,0-30
VND00144,2023-Q1,472971,191440,281531,59.52,0-30
VND00355,2023-Q1,136333,117420,18913,13.87,60+
VND00663,2023-Q1,171760,165502,6258,3.64,31-60
VND00173,2023-Q3,102757,76409,26348,25.64,0-30
VND03929,2023-Q3,208016,203235,4781,2.3,60+
VND04099,2023-Q3,476418,56418,420000,88.16,31-60
VND04449,2023-Q2,352866,93384,259482,73.54,31-60
VND04437,2023-Q3,476821,73398,403423,84.61,0-30
VND00279,2023-Q3,368735,348156,20579,5.58,0-30
VND01032,2023-Q3,346997,143732,203265,58.58,31-60
VND01189,2023-Q3,380891,316409,64482,16.93,31-60
VND04601,2023-Q2,119925,58639,61286,51.1,0-30
VND01773,2023-Q1,382591,250009,132582,34.65,0-30
VND01534,2023-Q1,229796,169271,60525,26.34,31-60
VND04094,2023-Q1,465876,346908,118968,25.54,31-60
VND03983,2023-Q1,80121,69469,10652,13.29,0-30
VND04852,2023-Q3,142587,68153,74434,52.2,0-30
VND04330,2023-Q1,278861,236250,42611,15.28,60+
VND02284,2023-Q3,143874,83488,60386,41.97,60+
VND00824,2023-Q3,164320,69454,94866,57.73,0-30
VND00867,2023-Q2,269485,59574,209911,77.89,31-60
VND00353,2023-Q3,475550,57293,418257,87.95,0-30
VND01273,2023-Q2,219308,44809,174499,79.57,0-30
VND01567,2023-Q3,175049,26603,148446,84.8,31-60
VND00742,2023-Q3,482834,343538,139296,28.85,31-60
VND03190,2023-Q1,235786,41372,194414,82.45,0-30
VND01968,2023-Q2,308122,91517,216605,70.3,31-60
VND03013,2023-Q3,85773,30609,55164,64.31,60+
VND01196,2023-Q1,91002,61649,29353,32.26,0-30
VND03178,2023-Q2,412081,127585,284496,69.04,60+
VND02569,2023-Q2,336168,103995,232173,69.06,0-30
VND04552,2023-Q3,395659,146712,248947,62.92,60+
VND02258,2023-Q1,463895,133287,330608,71.27,0-30
VND03255,2023-Q2,245535,104935,140600,57.26,60+
VND00756,2023-Q2,120622,25718,94904,78.68,60+
VND04586,2023-Q2,491490,259649,231841,47.17,31-60
VND00432,2023-Q1,373403,23307,350096,93.76,31-60
VND04067,2023-Q2,60444,43850,16594,27.45,0-30
VND03107,2023-Q3,322248,27822,294426,91.37,60+
VND00790,2023-Q1,347919,101612,246307,70.79,60+
VND02480,2023-Q2,185493,74653,110840,59.75,60+
VND00073,2023-Q2,235487,62087,173400,73.63,31-60
VND00990,2023-Q3,419273,282675,136598,32.58,60+
VND04169,2023-Q2,343729,138606,205123,59.68,31-60
VND00567,2023-Q3,329975,74933,255042,77.29,60+
VND02843,2023-Q2,56871,40259,16612,29.21,0-30
VND02467,2023-Q3,415271,48475,366796,88.33,0-30
VND03592,2023-Q1,405926,361717,44209,10.89,31-60
VND04161,2023-Q2,325746,172688,153058,46.99,0-30
VND02418,2023-Q3,248114,162402,85712,34.55,31-60
VND02960,2023-Q1,495362,165166,330196,66.66,31-60
VND03056,2023-Q2,297396,196668,100728,33.87,0-30
VND00982,2023-Q3,151394,146127,5267,3.48,0-30
VND00263,2023-Q2,98947,77041,21906,22.14,31-60
VND00847,2023-Q3,208502,37937,170565,81.8,60+
VND03395,2023-Q2,98273,71413,26860,27.33,31-60
VND02335,2023-Q3,481514,435515,45999,9.55,31-60
VND00611,2023-Q1,145914,52402,93512,64.09,0-30
VND01565,2023-Q3,211481,88516,122965,58.14,0-30
VND04332,2023-Q3,413388,269846,143542,34.72,0-30
VND02376,2023-Q1,268929,103239,165690,61.61,31-60
VND00462,2023-Q3,201906,84958,116948,57.92,60+
VND03142,2023-Q3,282552,98623,183929,65.1,0-30
VND02820,2023-Q2,343477,160081,183396,53.39,0-30
VND00786,2023-Q1,303422,246725,56697,18.69,0-30
VND00503,2023-Q1,57412,53592,3820,6.65,0-30
VND00601,2023-Q2,228809,35863,192946,84.33,0-30
VND01303,2023-Q1,156080,38807,117273,75.14,31-60
VND01630,2023-Q1,60092,52257,7835,13.04,0-30
VND04085,2023-Q3,184781,75765,109016,59.0,0-30
VND02761,2023-Q3,114179,85685,28494,24.96,0-30
VND01872,2023-Q3,172574,151503,21071,12.21,60+
VND01062,2023-Q3,477573,181287,296286,62.04,31-60
VND02972,2023-Q1,174958,52193,122765,70.17,31-60
VND02682,2023-Q2,242014,80936,161078,66.56,31-60
VND02649,2023-Q2,348518,88925,259593,74.48,0-30
VND00106,2023-Q3,190115,81955,108160,56.89,0-30
