vendor_id,mismatch_rate,filing_delay_frequency,gst_status_score,vendor_risk_score,risk_category
VND01264,0.038,0.208,4,9.83,Low
VND01265,0.002,0.2,17,8.09,Low
VND01266,0.167,0.109,15,11.06,Low
VND01267,0.082,0.063,14,5.77,Low
VND01268,0.249,0.375,2,24.98,Low
VND01269,0.023,0.262,0,11.39,Low
VND01270,0.107,0.398,14,20.22,Low
VND01271,0.135,0.167,4,12.1,Low
VND01272,0.264,0.113,9,15.08,Low
VND01273,0.12,0.069,20,7.54,Low
VND01274,0.104,0.232,5,13.46,Low
VND01275,0.282,0.264,11,21.85,Low
VND01276,0.037,0.383,6,16.8,Low
VND01277,0.158,0.104,1,10.49,Low
VND01278,0.167,0.005,7,6.88,Low
VND01279,0.007,0.019,2,1.05,Low
VND01280,0.07,0.204,16,10.97,Low
VND01281,0.067,0.106,12,6.91,Low
VND01282,0.031,0.06,7,3.66,Low
VND01283,0.126,0.116,9,9.69,Low
VND01284,0.064,0.185,20,9.97,Low
VND01285,0.253,0.094,6,13.87,Low
VND01286,0.11,0.282,5,15.68,Low
VND01287,0.051,0.377,8,17.12,Low
VND01288,0.193,0.168,2,14.45,Low
VND01289,0.264,0.39,4,26.18,Medium
VND01290,0.281,0.179,4,18.4,Low
VND01291,0.156,0.042,9,7.91,Low
VND01292,0.249,0.151,2,16.01,Low
VND01293,0.143,0.279,19,16.89,Low
VND01294,0.09,0.279,1,14.78,Low
VND01295,0.019,0.37,20,15.59,Low
VND01296,0.005,0.017,1,0.85,Low
VND01297,0.272,0.341,13,24.54,Low
VND01298,0.102,0.122,6,8.94,Low
VND01299,0.085,0.029,7,4.59,Low
VND01300,0.189,0.33,19,20.73,Low
VND01301,0.115,0.098,0,8.54,Low
VND01302,0.01,0.362,4,14.86,Low
VND01303,0.265,0.134,11,15.98,Low
VND01304,0.254,0.321,3,22.99,Low
VND01305,0.299,0.377,14,27.01,Medium
VND01306,0.278,0.072,14,14.01,Low
VND01307,0.293,0.039,11,13.27,Low
VND01308,0.114,0.191,20,12.19,Low
VND01309,0.217,0.396,19,24.54,Low
VND01310,0.222,0.135,0,14.26,Low
VND01311,0.005,0.207,12,8.51,Low
VND01312,0.27,0.164,10,17.38,Low
VND01313,0.013,0.308,19,12.85,Low
VND01314,0.242,0.021,15,10.51,Low
VND01315,0.041,0.313,8,14.17,Low
VND01316,0.021,0.155,3,7.06,Low
VND01317,0.238,0.167,17,16.2,Low
VND01318,0.032,0.123,14,6.19,Low
VND01319,0.05,0.219,5,10.76,Low
VND01320,0.25,0.321,8,22.82,Low
VND01321,0.246,0.154,16,15.99,Low
VND01322,0.053,0.305,5,14.34,Low
VND01323,0.221,0.238,16,18.33,Low
VND01324,0.061,0.314,7,15.01,Low
VND01325,0.202,0.078,1,11.2,Low
VND01326,0.132,0.142,19,10.95,Low
VND01327,0.064,0.351,5,16.59,Low
VND01328,0.076,0.057,18,5.3,Low
VND01329,0.243,0.262,3,20.22,Low
VND01330,0.297,0.339,3,25.47,Medium
VND01331,0.068,0.313,12,15.26,Low
VND01332,0.124,0.226,18,14.01,Low
VND01333,0.148,0.053,4,8.01,Low
VND01334,0.187,0.296,14,19.34,Low
VND01335,0.289,0.334,9,24.91,Low
VND01336,0.113,0.258,13,14.83,Low
VND01337,0.169,0.185,14,14.16,Low
VND01338,0.126,0.058,15,7.38,Low
VND01339,0.004,0.089,14,3.69,Low
VND01340,0.049,0.211,3,10.4,Low
VND01341,0.277,0.062,17,13.55,Low
VND01342,0.213,0.309,12,20.9,Low
VND01343,0.28,0.329,20,24.37,Low
VND01344,0.297,0.21,6,20.27,Low
VND01345,0.17,0.055,10,9.03,Low
VND01346,0.253,0.102,9,14.22,Low
VND01347,0.139,0.168,14,12.3,Low
VND01348,0.114,0.062,1,7.03,Low
VND01349,0.216,0.068,13,11.35,Low
VND01350,0.185,0.028,14,8.55,Low
VND01351,0.22,0.034,7,10.14,Low
VND01352,0.13,0.308,2,17.52,Low
VND01353,0.001,0.265,1,10.65,Low
VND01354,0.188,0.212,17,16.01,Low
VND01355,0.127,0.084,5,8.45,Low
VND01356,0.276,0.14,8,16.66,Low
VND01357,0.035,0.346,0,15.26,Low
VND01358,0.085,0.306,4,15.62,Low
VND01359,0.286,0.395,12,27.23,Medium
VND01360,0.237,0.155,6,15.68,Low
VND01361,0.048,0.38,18,17.13,Low
VND01362,0.248,0.22,17,18.72,Low
VND01363,0.112,0.146,1,10.3,Low
VND01364,0.239,0.157,16,15.82,Low
VND01365,0.056,0.203,16,10.34,Low
VND01366,0.037,0.24,4,11.07,Low
VND01367,0.248,0.155,12,16.13,Low
VND01368,0.2,0.29,4,19.57,Low
VND01369,0.1,0.161,17,10.45,Low
VND01370,0.102,0.143,16,9.8,Low
VND01371,0.075,0.368,12,17.69,Low
VND01372,0.149,0.108,7,10.27,Low
VND01373,0.189,0.181,20,14.81,Low
VND01374,0.109,0.065,13,6.96,Low
VND01375,0.002,0.181,0,7.34,Low
VND01376,0.015,0.311,14,13.05,Low
VND01377,0.282,0.16,0,17.69,Low
VND01378,0.234,0.048,19,11.27,Low
VND01379,0.197,0.319,5,20.62,Low
VND01380,0.214,0.206,12,16.82,Low
VND01381,0.24,0.004,11,9.79,Low
VND01382,0.152,0.204,10,14.25,Low
VND01383,0.132,0.127,16,10.38,Low
VND01384,0.054,0.316,16,14.81,Low
VND01385,0.118,0.054,2,6.89,Low
VND01386,0.131,0.04,1,6.84,Low
VND01387,0.04,0.09,3,5.19,Low
VND01388,0.19,0.235,8,16.97,Low
VND01389,0.108,0.112,11,8.77,Low
VND01390,0.142,0.319,20,18.45,Low
VND01391,0.225,0.005,5,9.2,Low
VND01392,0.06,0.053,10,4.55,Low
VND01393,0.149,0.268,6,16.72,Low
VND01394,0.125,0.034,10,6.38,Low
VND01395,0.211,0.347,18,22.33,Low
VND01396,0.174,0.239,15,16.54,Low
VND01397,0.242,0.106,18,13.92,Low
VND01398,0.09,0.141,0,9.22,Low
VND01399,0.131,0.378,18,20.36,Low
VND01400,0.047,0.144,8,7.65,Low
VND01401,0.258,0.05,3,12.31,Low
VND01402,0.119,0.098,16,8.67,Low
VND01403,0.04,0.006,8,1.83,Low
VND01404,0.283,0.394,4,27.08,Medium
VND01405,0.294,0.186,14,19.2,Low
VND01406,0.211,0.389,18,23.98,Low
VND01407,0.01,0.291,6,12.08,Low
VND01408,0.24,0.359,5,23.98,Low
VND01409,0.25,0.207,9,18.29,Low
VND01410,0.184,0.138,15,12.91,Low
VND01411,0.275,0.27,9,21.79,Low
VND01412,0.175,0.235,15,16.4,Low
VND01413,0.017,0.352,0,14.75,Low
VND01414,0.153,0.124,0,11.06,Low
VND01415,0.062,0.148,17,8.41,Low
VND01416,0.068,0.011,18,3.17,Low
VND01417,0.051,0.116,12,6.7,Low
VND01418,0.051,0.016,9,2.67,Low
VND01419,0.222,0.325,13,21.88,Low
VND01420,0.25,0.395,19,25.82,Medium
VND01421,0.038,0.161,16,7.96,Low
VND01422,0.227,0.013,9,9.58,Low
VND01423,0.223,0.171,0,15.75,Low
VND01424,0.25,0.386,2,25.48,Medium
VND01425,0.291,0.038,5,13.18,Low
VND01426,0.272,0.18,3,18.07,Low
VND01427,0.045,0.177,11,8.85,Low
VND01428,0.025,0.185,19,8.41,Low
VND01429,0.075,0.12,16,7.82,Low
VND01430,0.27,0.179,18,17.96,Low
VND01431,0.156,0.373,4,21.15,Low
VND01432,0.269,0.285,6,22.17,Low
VND01433,0.098,0.227,17,12.99,Low
VND01434,0.012,0.208,13,8.8,Low
VND01435,0.188,0.355,17,21.73,Low
VND01436,0.099,0.254,9,14.13,Low
VND01437,0.091,0.077,6,6.72,Low
VND01438,0.237,0.118,7,14.23,Low
VND01439,0.065,0.046,0,4.44,Low
VND01440,0.214,0.039,17,10.12,Low
VND01441,0.046,0.034,12,3.2,Low
VND01442,0.107,0.295,4,16.08,Low
VND01443,0.228,0.016,15,9.75,Low
VND01444,0.127,0.083,18,8.41,Low
VND01445,0.065,0.021,12,3.43,Low
VND01446,0.219,0.04,2,10.36,Low
VND01447,0.146,0.222,11,14.72,Low
VND01448,0.039,0.067,15,4.26,Low
VND01449,0.261,0.092,8,14.12,Low
VND01450,0.023,0.321,15,13.78,Low
VND01451,0.235,0.396,13,25.22,Medium
VND01452,0.276,0.179,9,18.22,Low
VND01453,0.009,0.202,20,8.48,Low
VND01454,0.022,0.069,15,3.65,Low
VND01455,0.082,0.127,8,8.36,Low
VND01456,0.038,0.148,6,7.46,Low
VND01457,0.171,0.213,12,15.38,Low
VND01458,0.296,0.152,2,17.93,Low
VND01459,0.149,0.185,14,13.36,Low
VND01460,0.022,0.387,6,16.34,Low
VND01461,0.14,0.322,17,18.46,Low
VND01462,0.184,0.182,4,14.61,Low
VND01463,0.07,0.101,19,6.84,Low
VND01464,0.262,0.167,7,17.16,Low
VND01465,0.282,0.069,11,14.02,Low
VND01466,0.161,0.388,2,21.94,Low
VND01467,0.148,0.338,14,19.44,Low
VND01468,0.027,0.12,3,5.88,Low
VND01469,0.277,0.363,1,25.62,Medium
VND01470,0.147,0.155,10,12.08,Low
VND01471,0.189,0.065,8,10.14,Low
VND01472,0.18,0.002,4,7.31,Low
VND01473,0.28,0.2,12,19.23,Low
VND01474,0.21,0.008,15,8.71,Low
VND01475,0.008,0.051,0,2.37,Low
VND01476,0.021,0.123,13,5.75,Low
VND01477,0.073,0.188,18,10.46,Low
VND01478,0.063,0.042,5,4.19,Low
VND01479,0.13,0.085,6,8.6,Low
VND01480,0.178,0.106,20,11.35,Low
VND01481,0.059,0.157,9,8.64,Low
VND01482,0.085,0.024,19,4.36,Low
VND01483,0.175,0.203,6,15.12,Low
VND01484,0.22,0.264,11,19.34,Low
VND01485,0.021,0.029,0,2.0,Low
VND01486,0.178,0.28,8,18.31,Low
VND01487,0.192,0.149,9,13.64,Low
VND01488,0.019,0.336,18,14.19,Low
VND01489,0.296,0.34,16,25.44,Medium
VND01490,0.069,0.159,0,9.1,Low
VND01491,0.019,0.319,8,13.53,Low
VND01492,0.187,0.361,6,21.9,Low
VND01493,0.195,0.258,8,18.11,Low
VND01494,0.142,0.059,19,8.03,Low
VND01495,0.196,0.321,0,20.68,Low
VND01496,0.053,0.022,3,2.99,Low
VND01497,0.012,0.275,17,11.48,Low
VND01498,0.032,0.33,19,14.46,Low
VND01499,0.123,0.06,17,7.32,Low
VND01500,0.237,0.1,19,13.49,Low
VND01501,0.018,0.037,8,2.22,Low
VND01502,0.07,0.287,9,14.26,Low
VND01503,0.251,0.129,9,15.22,Low
VND01504,0.066,0.112,10,7.14,Low
VND01505,0.214,0.079,1,11.73,Low
VND01506,0.278,0.095,15,14.91,Low
VND01507,0.065,0.135,20,7.99,Low
VND01508,0.028,0.177,9,8.22,Low
VND01509,0.278,0.057,2,13.42,Low
VND01510,0.112,0.236,5,13.92,Low
VND01511,0.028,0.117,3,5.77,Low
VND01512,0.083,0.068,13,6.01,Low
VND01513,0.05,0.262,3,12.5,Low
VND01514,0.022,0.105,5,5.07,Low
VND01515,0.048,0.027,1,3.02,Low
VND01516,0.194,0.094,5,11.52,Low
VND01517,0.017,0.372,17,15.56,Low
VND01518,0.279,0.278,14,22.28,Low
VND01519,0.248,0.111,16,14.35,Low
VND01520,0.176,0.273,20,17.97,Low
VND01521,0.218,0.317,10,21.39,Low
VND01522,0.005,0.042,10,1.87,Low
VND01523,0.247,0.053,4,12.0,Low
VND01524,0.123,0.369,14,19.69,Low
VND01525,0.07,0.375,13,17.81,Low
VND01526,0.212,0.367,13,23.15,Low
VND01527,0.21,0.195,19,16.2,Low
VND01528,0.184,0.363,5,21.88,Low
VND01529,0.033,0.048,4,3.25,Low
VND01530,0.023,0.389,0,16.49,Low
VND01531,0.112,0.34,15,18.09,Low
VND01532,0.283,0.332,20,24.57,Low
VND01533,0.266,0.364,8,25.22,Medium
VND01534,0.225,0.377,2,24.08,Low
VND01535,0.288,0.268,3,22.21,Low
VND01536,0.033,0.254,15,11.51,Low
VND01537,0.162,0.006,7,6.69,Low
VND01538,0.122,0.027,5,5.98,Low
VND01539,0.052,0.117,16,6.75,Low
VND01540,0.169,0.034,1,8.1,Low
VND01541,0.001,0.22,4,8.84,Low
VND01542,0.202,0.208,4,16.42,Low
VND01543,0.028,0.168,14,7.84,Low
VND01544,0.224,0.305,17,21.16,Low
VND01545,0.074,0.048,6,4.91,Low
VND01546,0.229,0.206,15,17.44,Low
VND01547,0.265,0.228,16,19.69,Low
VND01548,0.291,0.222,9,20.52,Low
VND01549,0.273,0.083,16,14.23,Low
VND01550,0.076,0.301,18,15.11,Low
VND01551,0.004,0.028,14,1.28,Low
VND01552,0.273,0.056,1,13.15,Low
VND01553,0.051,0.352,6,16.1,Low
VND01554,0.243,0.295,11,21.48,Low
VND01555,0.28,0.232,10,20.47,Low
VND01556,0.12,0.14,10,10.41,Low
VND01557,0.183,0.042,11,9.0,Low
VND01558,0.242,0.339,16,23.23,Low
VND01559,0.183,0.257,0,17.56,Low
VND01560,0.248,0.114,14,14.5,Low
VND01561,0.013,0.3,19,12.52,Low
VND01562,0.179,0.13,9,12.37,Low
VND01563,0.136,0.02,16,6.21,Low
VND01564,0.013,0.296,12,12.36,Low
VND01565,0.145,0.234,16,15.17,Low
VND01566,0.017,0.324,1,13.62,Low
VND01567,0.201,0.195,5,15.83,Low
VND01568,0.202,0.022,20,8.95,Low
VND01569,0.054,0.115,6,6.77,Low
VND01570,0.093,0.135,3,9.12,Low
VND01571,0.115,0.366,6,19.26,Low
VND01572,0.06,0.009,6,2.75,Low
VND01573,0.2,0.059,6,10.36,Low
VND01574,0.12,0.086,10,8.24,Low
VND01575,0.027,0.256,5,11.33,Low
VND01576,0.09,0.089,20,7.16,Low
VND01577,0.028,0.285,15,12.54,Low
VND01578,0.288,0.092,20,15.18,Low
VND01579,0.202,0.354,10,22.26,Low
VND01580,0.084,0.293,2,15.06,Low
VND01581,0.013,0.377,16,15.6,Low
VND01582,0.294,0.211,8,20.19,Low
VND01583,0.226,0.27,1,19.85,Low
VND01584,0.105,0.213,14,12.72,Low
VND01585,0.063,0.052,1,4.59,Low
VND01586,0.214,0.082,16,11.85,Low
VND01587,0.073,0.358,7,17.23,Low
VND01588,0.031,0.159,0,7.59,Low
VND01589,0.085,0.315,10,16.01,Low
VND01590,0.257,0.246,4,20.12,Low
VND01591,0.063,0.313,3,15.06,Low
VND01592,0.255,0.023,1,11.13,Low
VND01593,0.115,0.351,15,18.64,Low
VND01594,0.179,0.345,9,20.99,Low
VND01595,0.013,0.17,1,7.31,Low
VND01596,0.133,0.205,9,13.52,Low
VND01597,0.239,0.185,18,16.96,Low
VND01598,0.276,0.349,3,24.98,Low
VND01599,0.183,0.269,3,18.09,Low
VND01600,0.296,0.266,7,22.48,Low
VND01601,0.029,0.114,11,5.75,Low
VND01602,0.175,0.398,15,22.9,Low
VND01603,0.22,0.076,18,11.85,Low
VND01604,0.168,0.079,17,9.88,Low
VND01605,0.209,0.024,15,9.33,Low
VND01606,0.144,0.035,15,7.17,Low
VND01607,0.047,0.193,15,9.58,Low
VND01608,0.212,0.054,2,10.63,Low
VND01609,0.042,0.205,16,9.89,Low
VND01610,0.169,0.374,6,21.72,Low
VND01611,0.021,0.184,6,8.21,Low
VND01612,0.213,0.034,19,9.89,Low
VND01613,0.296,0.019,7,12.61,Low
VND01614,0.234,0.199,10,17.34,Low
VND01615,0.109,0.116,19,9.0,Low
VND01616,0.267,0.193,5,18.42,Low
VND01617,0.047,0.095,10,5.71,Low
VND01618,0.175,0.157,20,13.25,Low
VND01619,0.033,0.139,11,6.85,Low
VND01620,0.123,0.199,10,12.85,Low
VND01621,0.209,0.267,20,19.01,Low
VND01622,0.187,0.31,14,19.88,Low
VND01623,0.031,0.194,20,9.0,Low
VND01624,0.14,0.197,9,13.51,Low
VND01625,0.175,0.094,19,10.77,Low
VND01626,0.081,0.002,18,3.31,Low
VND01627,0.116,0.303,1,16.78,Low
VND01628,0.064,0.178,6,9.69,Low
VND01629,0.015,0.315,11,13.21,Low
VND01630,0.084,0.318,0,16.06,Low
VND01631,0.213,0.161,18,14.97,Low
VND01632,0.028,0.15,0,7.1,Low
VND01633,0.048,0.274,1,12.87,Low
VND01634,0.257,0.196,7,18.1,Low
VND01635,0.212,0.178,0,15.61,Low
VND01636,0.203,0.325,14,21.13,Low
VND01637,0.132,0.024,9,6.28,Low
VND01638,0.15,0.017,3,6.68,Low
VND01639,0.089,0.086,7,7.0,Low
VND01640,0.248,0.325,2,22.91,Low
VND01641,0.25,0.335,7,23.39,Low
VND01642,0.068,0.099,13,6.68,Low
VND01643,0.038,0.043,12,3.22,Low
VND01644,0.105,0.217,20,12.9,Low
VND01645,0.012,0.176,6,7.54,Low
VND01646,0.155,0.181,2,13.45,Low
VND01647,0.291,0.387,16,27.13,Medium
VND01648,0.038,0.107,19,5.8,Low
VND01649,0.148,0.15,4,11.91,Low
VND01650,0.297,0.331,4,25.11,Medium
VND01651,0.066,0.366,19,17.31,Low
VND01652,0.228,0.112,18,13.59,Low
VND01653,0.287,0.178,8,18.6,Low
VND01654,0.174,0.209,6,15.34,Low
VND01655,0.074,0.191,3,10.6,Low
VND01656,0.227,0.159,17,15.44,Low
VND01657,0.194,0.149,17,13.73,Low
VND01658,0.198,0.01,0,8.3,Low
VND01659,0.24,0.018,11,10.32,Low
VND01660,0.066,0.133,3,7.98,Low
VND01661,0.291,0.115,4,16.24,Low
VND01662,0.299,0.076,3,15.0,Low
VND01663,0.041,0.128,12,6.77,Low
VND01664,0.098,0.161,9,10.35,Low
VND01665,0.018,0.113,7,5.25,Low
VND01666,0.094,0.209,4,12.1,Low
VND01667,0.299,0.184,20,19.35,Low
VND01668,0.188,0.081,16,10.75,Low
VND01669,0.12,0.26,6,15.2,Low
VND01670,0.26,0.293,14,22.09,Low
VND01671,0.193,0.391,20,23.37,Low
VND01672,0.293,0.147,12,17.58,Low
VND01673,0.088,0.382,12,18.8,Low
VND01674,0.291,0.3,1,23.63,Low
VND01675,0.027,0.066,17,3.74,Low
VND01676,0.093,0.025,7,4.71,Low
VND01677,0.164,0.125,20,11.58,Low
VND01678,0.158,0.365,6,20.94,Low
VND01679,0.191,0.151,18,13.69,Low
VND01680,0.108,0.316,0,16.95,Low
VND01681,0.19,0.042,14,9.27,Low
VND01682,0.079,0.14,3,8.78,Low
VND01683,0.144,0.144,2,11.55,Low
VND01684,0.001,0.169,15,6.79,Low
VND01685,0.028,0.044,17,2.86,Low
VND01686,0.063,0.21,12,10.95,Low
VND01687,0.233,0.072,19,12.21,Low
VND01688,0.024,0.092,2,4.62,Low
VND01689,0.24,0.174,12,16.58,Low
VND01690,0.146,0.274,19,16.8,Low
VND01691,0.17,0.12,14,11.6,Low
VND01692,0.043,0.33,5,14.92,Low
VND01693,0.112,0.277,6,15.55,Low
VND01694,0.069,0.379,16,17.92,Low
VND01695,0.014,0.2,15,8.55,Low
VND01696,0.099,0.347,13,17.82,Low
VND01697,0.237,0.045,18,11.28,Low
VND01698,0.142,0.304,10,17.86,Low
VND01699,0.086,0.319,9,16.22,Low
VND01700,0.07,0.306,2,15.08,Low
VND01701,0.258,0.191,11,17.96,Low
VND01702,0.134,0.262,8,15.85,Low
VND01703,0.117,0.399,10,20.65,Low
VND01704,0.091,0.308,19,15.97,Low
VND01705,0.053,0.177,19,9.23,Low
VND01706,0.064,0.133,20,7.88,Low
VND01707,0.011,0.304,19,12.58,Low
VND01708,0.232,0.306,18,21.52,Low
VND01709,0.291,0.001,9,11.67,Low
VND01710,0.259,0.283,10,21.7,Low
VND01711,0.244,0.235,6,19.15,Low
VND01712,0.009,0.295,4,12.18,Low
VND01713,0.103,0.135,3,9.51,Low
VND01714,0.028,0.1,5,5.12,Low
VND01715,0.074,0.081,2,6.19,Low
VND01716,0.248,0.166,5,16.58,Low
VND01717,0.252,0.204,15,18.22,Low
VND01718,0.017,0.251,6,10.71,Low
VND01719,0.256,0.293,12,21.97,Low
VND01720,0.277,0.204,1,19.22,Low
VND01721,0.194,0.338,0,21.28,Low
VND01722,0.02,0.283,3,12.11,Low
VND01723,0.13,0.005,1,5.39,Low
VND01724,0.249,0.161,2,16.37,Low
VND01725,0.073,0.37,13,17.73,Low
VND01726,0.192,0.206,17,15.93,Low
VND01727,0.163,0.377,3,21.58,Low
VND01728,0.221,0.372,17,23.73,Low
VND01729,0.082,0.036,0,4.73,Low
VND01730,0.205,0.195,20,16.01,Low
VND01731,0.215,0.012,11,9.05,Low
VND01732,0.017,0.005,18,0.87,Low
VND01733,0.137,0.139,1,11.06,Low
VND01734,0.045,0.288,17,13.31,Low
VND01735,0.147,0.033,15,7.2,Low
VND01736,0.221,0.231,11,18.07,Low
VND01737,0.176,0.321,2,19.88,Low
VND01738,0.26,0.252,19,20.48,Low
VND01739,0.011,0.288,12,11.96,Low
VND01740,0.272,0.294,18,22.63,Low
VND01741,0.058,0.151,0,8.38,Low
VND01742,0.16,0.132,3,11.68,Low
VND01743,0.076,0.048,13,4.93,Low
VND01744,0.202,0.177,10,15.18,Low
VND01745,0.063,0.072,18,5.4,Low
VND01746,0.211,0.295,11,20.25,Low
VND01747,0.05,0.279,16,13.13,Low
VND01748,0.075,0.287,2,14.47,Low
VND01749,0.204,0.112,20,12.64,Low
VND01750,0.127,0.194,13,12.84,Low
VND01751,0.09,0.248,17,13.54,Low
VND01752,0.287,0.206,4,19.71,Low
VND01753,0.238,0.326,10,22.6,Low
VND01754,0.139,0.337,2,19.01,Low
VND01755,0.272,0.133,3,16.21,Low
VND01756,0.045,0.124,8,6.72,Low
VND01757,0.14,0.194,6,13.35,Low
VND01758,0.115,0.347,13,18.48,Low
VND01759,0.161,0.16,7,12.85,Low
VND01760,0.156,0.235,9,15.64,Low
VND01761,0.005,0.245,5,9.99,Low
VND01762,0.26,0.394,0,26.15,Medium
VND01763,0.165,0.343,16,20.33,Low
VND01764,0.158,0.266,12,16.96,Low
VND01765,0.065,0.16,9,8.98,Low
VND01766,0.265,0.123,12,15.49,Low
VND01767,0.014,0.313,16,13.06,Low
VND01768,0.245,0.333,3,23.13,Low
VND01769,0.135,0.054,1,7.56,Low
VND01770,0.177,0.189,18,14.61,Low
VND01771,0.133,0.362,13,19.8,Low
VND01772,0.275,0.324,14,23.94,Low
VND01773,0.115,0.09,2,8.22,Low
VND01774,0.156,0.34,16,19.84,Low
VND01775,0.254,0.121,1,15.01,Low
VND01776,0.02,0.006,5,1.02,Low
VND01777,0.255,0.006,11,10.45,Low
VND01778,0.17,0.342,19,20.47,Low
VND01779,0.08,0.362,0,17.7,Low
VND01780,0.052,0.204,4,10.26,Low
VND01781,0.107,0.057,16,6.58,Low
VND01782,0.013,0.342,6,14.23,Low
VND01783,0.13,0.03,15,6.38,Low
VND01784,0.142,0.244,12,15.42,Low
VND01785,0.207,0.347,4,22.14,Low
VND01786,0.215,0.166,20,15.24,Low
VND01787,0.229,0.372,4,24.06,Low
VND01788,0.239,0.279,9,20.72,Low
VND01789,0.203,0.383,7,23.45,Low
VND01790,0.154,0.062,1,8.62,Low
VND01791,0.075,0.178,2,10.11,Low
VND01792,0.14,0.14,10,11.2,Low
VND01793,0.106,0.213,15,12.75,Low
VND01794,0.083,0.26,3,13.71,Low
VND01795,0.18,0.323,11,20.11,Low
VND01796,0.199,0.2,20,15.96,Low
VND01797,0.242,0.193,16,17.42,Low
VND01798,0.269,0.342,0,24.45,Low
VND01799,0.126,0.154,17,11.2,Low
VND01800,0.025,0.006,15,1.26,Low
VND01801,0.274,0.376,9,25.99,Medium
VND01802,0.277,0.214,9,19.67,Low
VND01803,0.143,0.072,5,8.61,Low
VND01804,0.06,0.077,1,5.49,Low
VND01805,0.156,0.204,17,14.41,Low
VND01806,0.13,0.034,18,6.56,Low
VND01807,0.205,0.057,5,10.48,Low
VND01808,0.142,0.329,4,18.86,Low
VND01809,0.225,0.4,18,25.02,Medium
VND01810,0.085,0.275,20,14.38,Low
VND01811,0.093,0.228,20,12.84,Low
VND01812,0.251,0.026,5,11.09,Low
VND01813,0.279,0.117,14,15.87,Low
VND01814,0.028,0.333,14,14.45,Low
VND01815,0.012,0.112,7,4.94,Low
VND01816,0.068,0.299,16,14.67,Low
VND01817,0.028,0.205,4,9.34,Low
VND01818,0.29,0.101,12,15.66,Low
VND01819,0.097,0.285,14,15.28,Low
VND01820,0.097,0.258,12,14.22,Low
VND01821,0.036,0.16,13,7.84,Low
VND01822,0.002,0.347,1,13.95,Low
VND01823,0.093,0.356,15,17.98,Low
VND01824,0.264,0.085,7,13.97,Low
VND01825,0.089,0.092,14,7.25,Low
VND01826,0.015,0.137,0,6.1,Low
VND01827,0.094,0.038,17,5.29,Low
VND01828,0.299,0.092,14,15.64,Low
VND01829,0.145,0.056,5,8.04,Low
VND01830,0.205,0.118,19,12.94,Low
VND01831,0.24,0.071,10,12.44,Low
VND01832,0.062,0.289,14,14.05,Low
VND01833,0.219,0.108,10,13.08,Low
VND01834,0.136,0.139,19,11.01,Low
VND01835,0.063,0.126,17,7.55,Low
VND01836,0.184,0.289,18,18.95,Low
VND01837,0.245,0.25,10,19.83,Low
VND01838,0.278,0.051,1,13.15,Low
VND01839,0.223,0.187,5,16.39,Low
VND01840,0.29,0.189,0,19.17,Low
VND01841,0.09,0.011,14,4.04,Low
VND01842,0.04,0.022,10,2.45,Low
VND01843,0.093,0.395,14,19.51,Low
VND01844,0.25,0.268,13,20.74,Low
VND01845,0.045,0.156,1,8.04,Low
VND01846,0.191,0.029,18,8.8,Low
VND01847,0.124,0.001,5,5.02,Low
VND01848,0.205,0.087,6,11.66,Low
VND01849,0.113,0.197,0,12.4,Low
VND01850,0.209,0.376,11,23.43,Low
VND01851,0.106,0.152,15,10.3,Low
VND01852,0.086,0.004,3,3.58,Low
VND01853,0.105,0.142,16,9.89,Low
VND01854,0.289,0.105,7,15.75,Low
VND01855,0.07,0.378,4,17.91,Low
VND01856,0.066,0.382,17,17.91,Low
VND01857,0.022,0.25,2,10.86,Low
VND01858,0.219,0.267,1,19.46,Low
VND01859,0.013,0.242,7,10.23,Low
VND01860,0.232,0.187,1,16.77,Low
VND01861,0.136,0.079,6,8.59,Low
VND01862,0.226,0.333,17,22.38,Low
VND01863,0.202,0.192,11,15.76,Low
VND01864,0.174,0.026,3,7.99,Low
VND01865,0.025,0.001,13,1.03,Low
VND01866,0.182,0.263,17,17.79,Low
VND01867,0.041,0.351,3,15.69,Low
VND01868,0.279,0.305,15,23.37,Low
VND01869,0.032,0.238,13,10.79,Low
VND01870,0.088,0.028,18,4.65,Low
VND01871,0.111,0.374,13,19.41,Low
VND01872,0.064,0.272,14,13.43,Low
VND01873,0.292,0.096,5,15.51,Low
VND01874,0.106,0.077,13,7.3,Low
VND01875,0.107,0.108,19,8.59,Low
VND01876,0.068,0.112,18,7.17,Low
VND01877,0.283,0.004,16,11.49,Low
VND01878,0.169,0.276,18,17.77,Low
VND01879,0.14,0.241,3,15.25,Low
VND01880,0.246,0.113,12,14.36,Low
VND01881,0.102,0.269,5,14.85,Low
VND01882,0.204,0.393,9,23.87,Low
VND01883,0.039,0.243,16,11.28,Low
VND01884,0.284,0.191,9,19.01,Low
VND01885,0.18,0.072,6,10.06,Low
VND01886,0.049,0.299,13,13.95,Low
VND01887,0.239,0.301,1,21.6,Low
VND01888,0.068,0.076,12,5.78,Low
VND01889,0.078,0.206,13,11.37,Low
VND01890,0.157,0.248,7,16.17,Low
VND01891,0.193,0.153,16,13.83,Low
VND01892,0.271,0.012,3,11.32,Low
VND01893,0.194,0.264,0,18.33,Low
VND01894,0.021,0.088,16,4.36,Low
VND01895,0.063,0.052,14,4.63,Low
VND01896,0.087,0.394,2,19.22,Low
